scenario_type,scenario_value,meal_datetime,meal_size,insulin_dose,post_meal_mae,peak_glucose_diff,average_glucose_diff
dose,0,2024-01-01 07:35:00,55,0.0,22.675675675675677,19,22.675675675675677
dose,0,2024-01-01 12:35:00,70,0.0,27.83783783783784,23,27.83783783783784
dose,0,2024-01-01 19:15:00,64,0.0,28.513513513513512,26,28.513513513513516
dose,0,2024-01-02 07:50:00,55,0.0,26.972972972972972,20,26.97297297297297
dose,0,2024-01-02 13:10:00,63,0.0,32.972972972972975,25,32.97297297297297
dose,0,2024-01-02 18:45:00,66,0.0,30.10810810810811,25,30.108108108108098
dose,0,2024-01-03 07:55:00,57,0.0,24.43243243243243,23,24.432432432432435
dose,0,2024-01-03 12:50:00,64,0.0,30.89189189189189,24,30.891891891891873
dose,0,2024-01-03 19:15:00,62,0.0,33.62162162162162,25,33.62162162162163
dose,0,2024-01-04 07:50:00,55,0.0,25.972972972972972,24,25.97297297297297
dose,0,2024-01-04 12:40:00,59,0.0,29.405405405405407,24,29.405405405405418
dose,0,2024-01-04 18:45:00,49,0.0,19.83783783783784,19,19.837837837837824
dose,0,2024-01-05 08:20:00,56,0.0,25.27027027027027,19,25.270270270270274
dose,0,2024-01-05 12:55:00,69,0.0,36.86486486486486,29,36.86486486486487
dose,0,2024-01-05 18:40:00,64,0.0,32.810810810810814,25,32.81081081081082
dose,0,2024-01-06 08:15:00,50,5.76,21.594594594594593,16,21.43243243243242
dose,0,2024-01-06 13:05:00,63,0.0,33.945945945945944,27,33.94594594594594
dose,0,2024-01-06 19:10:00,46,0.0,21.486486486486488,17,21.486486486486484
dose,0,2024-01-07 07:30:00,59,0.0,26.243243243243242,25,26.243243243243242
dose,0,2024-01-07 12:40:00,51,0.0,21.756756756756758,18,21.756756756756744
dose,0,2024-01-07 18:45:00,67,0.0,34.027027027027025,27,34.02702702702703
timing,-30,2024-01-01 07:35:00,55,0.0,30.7027027027027,11,-3.8918918918918735
timing,-30,2024-01-01 12:35:00,70,0.0,26.10810810810811,28,8.810810810810807
timing,-30,2024-01-01 19:15:00,64,0.0,36.189189189189186,32,-1.7027027027027088
timing,-30,2024-01-02 07:50:00,55,0.0,37.810810810810814,24,-4.027027027027032
timing,-30,2024-01-02 13:10:00,63,0.0,31.594594594594593,31,9.810810810810807
timing,-30,2024-01-02 18:45:00,66,0.0,35.45945945945946,34,5.081081081081095
timing,-30,2024-01-03 07:55:00,57,0.0,33.108108108108105,31,-2.567567567567579
timing,-30,2024-01-03 12:50:00,64,0.0,40.08108108108108,33,-3.1081081081081123
timing,-30,2024-01-03 19:15:00,62,0.0,39.67567567567568,36,8.324324324324337
timing,-30,2024-01-04 07:50:00,55,0.0,32.108108108108105,29,-0.37837837837838606
timing,-30,2024-01-04 12:40:00,59,0.0,37.648648648648646,21,-2.4054054054054177
timing,-30,2024-01-04 18:45:00,49,0.0,25.945945945945947,23,-2.324324324324337
timing,-30,2024-01-05 08:20:00,56,0.0,36.32432432432432,7,-5.081081081081081
timing,-30,2024-01-05 12:55:00,69,0.0,37.351351351351354,34,3.7297297297297263
timing,-30,2024-01-05 18:40:00,64,0.0,28.54054054054054,30,14.324324324324337
timing,-30,2024-01-06 08:15:00,50,4.8,31.054054054054053,-7,-5.162162162162161
timing,-30,2024-01-06 13:05:00,63,0.0,28.62162162162162,36,15.27027027027026
timing,-30,2024-01-06 19:10:00,46,0.0,28.08108108108108,25,-0.13513513513514397
timing,-30,2024-01-07 07:30:00,59,0.0,33.0,31,1.8648648648648702
timing,-30,2024-01-07 12:40:00,51,0.0,28.64864864864865,28,-0.37837837837837185
timing,-30,2024-01-07 18:45:00,67,0.0,36.027027027027025,33,4.189189189189193
timing,-60,2024-01-01 07:35:00,55,0.0,50.75675675675676,35,1.189189189189193
timing,-60,2024-01-01 12:35:00,70,0.0,40.108108108108105,50,28.16216216216216
timing,-60,2024-01-01 19:15:00,64,0.0,49.7027027027027,56,17.16216216216216
timing,-60,2024-01-02 07:50:00,55,0.0,56.270270270270274,52,11.027027027027017
timing,-60,2024-01-02 13:10:00,63,0.0,46.2972972972973,54,30.729729729729712
timing,-60,2024-01-02 18:45:00,66,0.0,51.891891891891895,63,28.918918918918934
timing,-60,2024-01-03 07:55:00,57,0.0,49.567567567567565,58,12.108108108108098
timing,-60,2024-01-03 12:50:00,64,0.0,56.432432432432435,63,18.91891891891892
timing,-60,2024-01-03 19:15:00,62,0.0,57.2972972972973,64,32.70270270270271
timing,-60,2024-01-04 07:50:00,55,0.0,46.32432432432432,52,15.675675675675677
timing,-60,2024-01-04 12:40:00,59,0.0,56.54054054054054,50,13.135135135135116
timing,-60,2024-01-04 18:45:00,49,0.0,40.351351351351354,43,6.729729729729712
timing,-60,2024-01-05 08:20:00,56,0.0,56.75675675675676,32,3.3513513513513544
timing,-60,2024-01-05 12:55:00,69,0.0,54.83783783783784,66,29.43243243243242
timing,-60,2024-01-05 18:40:00,64,0.0,46.5945945945946,55,36.91891891891892
timing,-60,2024-01-06 08:15:00,50,4.8,53.24324324324324,19,-1.0810810810810665
timing,-60,2024-01-06 13:05:00,63,0.0,46.4054054054054,59,37.70270270270271
timing,-60,2024-01-06 19:10:00,46,0.0,42.108108108108105,43,8.702702702702695
timing,-60,2024-01-07 07:30:00,59,0.0,45.78378378378378,53,20.378378378378386
timing,-60,2024-01-07 12:40:00,51,0.0,43.108108108108105,47,8.513513513513516
timing,-60,2024-01-07 18:45:00,67,0.0,52.24324324324324,61,28.081081081081066
timing,30,2024-01-01 07:35:00,55,0.0,31.675675675675677,52,10.324324324324323
timing,30,2024-01-01 12:35:00,70,0.0,34.37837837837838,-12,3.1351351351351298
timing,30,2024-01-01 19:15:00,64,0.0,39.432432432432435,45,9.59459459459461
timing,30,2024-01-02 07:50:00,55,0.0,39.2972972972973,60,10.21621621621621
timing,30,2024-01-02 13:10:00,63,0.0,39.648648648648646,9,5.648648648648646
timing,30,2024-01-02 18:45:00,66,0.0,40.08108108108108,27,5.86486486486487
timing,30,2024-01-03 07:55:00,57,0.0,34.86486486486486,50,7.675675675675677
timing,30,2024-01-03 12:50:00,64,0.0,39.13513513513514,56,7.081081081081081
timing,30,2024-01-03 19:15:00,62,0.0,44.486486486486484,36,5.837837837837839
timing,30,2024-01-04 07:50:00,55,0.0,35.027027027027025,35,8.162162162162161
timing,30,2024-01-04 12:40:00,59,0.0,36.54054054054054,57,9.189189189189179
timing,30,2024-01-04 18:45:00,49,0.0,26.7027027027027,40,6.594594594594582
timing,30,2024-01-05 08:20:00,56,0.0,35.37837837837838,52,10.243243243243228
timing,30,2024-01-05 12:55:00,69,0.0,45.13513513513514,38,7.675675675675677
timing,30,2024-01-05 18:40:00,64,0.0,42.054054054054056,-6,4.972972972972968
timing,30,2024-01-06 08:15:00,50,4.8,29.783783783783782,44,9.783783783783775
timing,30,2024-01-06 13:05:00,63,0.0,42.648648648648646,-11,2.864864864864856
timing,30,2024-01-06 19:10:00,46,0.0,29.72972972972973,43,7.945945945945937
timing,30,2024-01-07 07:30:00,59,0.0,36.486486486486484,22,7.243243243243256
timing,30,2024-01-07 12:40:00,51,0.0,27.45945945945946,44,6.810810810810807
timing,30,2024-01-07 18:45:00,67,0.0,45.108108108108105,32,8.675675675675677
timing,60,2024-01-01 07:35:00,55,0.0,52.16216216216216,81,23.351351351351354
timing,60,2024-01-01 12:35:00,70,0.0,60.189189189189186,38,9.540540540540547
timing,60,2024-01-01 19:15:00,64,0.0,66.97297297297297,88,23.405405405405418
timing,60,2024-01-02 07:50:00,55,0.0,66.05405405405405,98,25.78378378378379
timing,60,2024-01-02 13:10:00,63,0.0,68.5945945945946,59,15.027027027027032
timing,60,2024-01-02 18:45:00,66,0.0,69.83783783783784,78,18.86486486486487
timing,60,2024-01-03 07:55:00,57,0.0,60.567567567567565,89,21.594594594594582
timing,60,2024-01-03 12:50:00,64,0.0,65.1891891891892,94,20.91891891891892
timing,60,2024-01-03 19:15:00,62,0.0,78.72972972972973,85,19.16216216216216
timing,60,2024-01-04 07:50:00,55,0.0,61.45945945945946,76,19.459459459459453
timing,60,2024-01-04 12:40:00,59,0.0,60.729729729729726,91,22.94594594594595
timing,60,2024-01-04 18:45:00,49,0.0,44.7027027027027,69,15.351351351351354
timing,60,2024-01-05 08:20:00,56,0.0,60.91891891891892,88,27.189189189189193
timing,60,2024-01-05 12:55:00,69,0.0,74.94594594594595,82,18.675675675675677
timing,60,2024-01-05 18:40:00,64,0.0,74.54054054054055,52,15.837837837837824
timing,60,2024-01-06 08:15:00,50,4.8,50.108108108108105,71,25.13513513513513
timing,60,2024-01-06 13:05:00,63,0.0,74.54054054054055,43,12.972972972972968
timing,60,2024-01-06 19:10:00,46,0.0,48.86486486486486,71,18.27027027027026
timing,60,2024-01-07 07:30:00,59,0.0,65.62162162162163,71,19.783783783783804
timing,60,2024-01-07 12:40:00,51,0.0,45.945945945945944,73,15.081081081081095
timing,60,2024-01-07 18:45:00,67,0.0,77.91891891891892,85,22.513513513513516
